,PreparationTime,ColorDeconvTime,TotalTileLoadingTime,CKPTLoadingTime,ModelInfernceTime,DetectionTime,ROIShape,NumObjects
0,0.296,1.211,1.507,1.964,38.47,43.218,"(1024, 1024)",106
1,0.18,1.266,1.446,2.305,36.409,41.435,"(1024, 1024)",110
2,0.394,2.411,2.81,1.784,33.863,39.504,"(1024, 1024)",90
3,0.441,2.15,2.596,1.664,35.7,40.509,"(1024, 1024)",80
4,0.17,1.046,1.216,2.654,36.695,42.227,"(1024, 1024)",59
5,0.182,1.033,1.215,3.738,35.074,42.701,"(1024, 1024)",96
6,0.18,1.548,1.739,2.615,37.009,42.42,"(1024, 1024)",167
7,0.335,1.261,1.596,2.872,31.639,37.263,"(1024, 1024)",306
8,0.418,1.64,2.059,1.969,31.162,36.167,"(1024, 1024)",306
9,0.256,1.266,1.524,2.159,37.656,42.537,"(1024, 1024)",121
10,0.201,1.564,1.765,2.338,37.571,42.512,"(1024, 1024)",118
11,0.499,2.72,3.222,1.688,36.236,41.164,"(1024, 1024)",77
12,0.439,2.771,3.218,1.559,36.503,42.163,"(1024, 1024)",71
13,0.363,1.709,2.072,2.5,36.963,42.994,"(1024, 1024)",204
14,0.384,2.419,2.803,1.714,37.98,42.809,"(1024, 1024)",190
15,0.17,1.417,1.587,2.436,38.441,43.621,"(1024, 1024)",202
16,0.358,1.364,1.722,2.436,37.152,42.33,"(1024, 1024)",217
17,0.205,1.379,1.585,2.427,37.5,42.699,"(1024, 1024)",77
18,0.165,1.166,1.33,3.619,35.634,42.019,"(1024, 1024)",144
19,0.596,2.635,3.231,1.484,34.591,40.831,"(1024, 1024)",180
20,0.258,1.242,1.5,2.881,37.667,43.36,"(1024, 1024)",102
21,0.223,1.361,1.585,2.821,37.323,42.877,"(1024, 1024)",111
22,0.348,1.713,2.062,2.485,37.466,43.237,"(1024, 1024)",107
23,0.198,1.641,1.839,1.537,39.26,43.413,"(1024, 1024)",59
24,0.457,3.024,3.481,1.534,35.584,42.367,"(1024, 1024)",109
25,0.231,1.472,1.704,1.725,34.733,39.183,"(1024, 1024)",200
26,0.191,1.078,1.269,3.074,35.632,41.81,"(1024, 1024)",112
27,0.211,1.599,1.81,1.569,38.659,42.842,"(1024, 1024)",22
28,0.439,1.483,1.923,1.932,38.426,43.098,"(1024, 1024)",96
29,0.308,1.86,2.168,1.71,38.436,42.927,"(1024, 1024)",121
30,0.18,1.406,1.586,1.906,38.601,43.314,"(1024, 1024)",63
31,0.427,2.581,3.011,1.721,36.198,42.69,"(1024, 1024)",215
32,0.198,1.494,1.692,1.615,38.522,42.79,"(1024, 1024)",66
33,0.453,2.742,3.201,1.553,35.874,40.795,"(1024, 1024)",112
34,0.204,1.219,1.423,2.512,37.266,42.506,"(1024, 1024)",22
35,0.278,1.262,1.54,2.512,37.034,42.532,"(1024, 1024)",21
36,0.336,1.643,1.99,1.521,37.165,41.617,"(1024, 1024)",105
37,0.185,1.07,1.255,1.527,36.745,41.152,"(1024, 1024)",244
38,0.277,1.29,1.567,2.522,37.616,43.08,"(1024, 1024)",114
