,PreparationTime,ColorDeconvTime,TotalTileLoadingTime,CKPTLoadingTime,ModelInfernceTime,DetectionTime,ROIShape,NumObjects
0,0.181,1.13,1.311,3.052,18.877,24.98,"(1024, 1024)",69
1,0.178,2.309,2.488,1.55,17.904,24.422,"(1024, 1024)",77
2,0.242,1.675,1.917,1.956,22.151,26.92,"(1024, 1024)",61
3,0.411,1.554,1.97,2.024,21.055,25.808,"(1024, 1024)",95
4,0.32,1.268,1.588,1.526,20.859,25.157,"(1024, 1024)",55
5,0.181,1.05,1.232,2.641,17.757,23.335,"(1024, 1024)",108
6,0.393,2.63,3.036,1.714,16.811,22.855,"(1024, 1024)",225
7,0.505,2.643,3.155,1.697,15.405,21.111,"(1024, 1024)",465
8,0.227,1.25,1.478,3.237,18.015,23.963,"(1024, 1024)",470
9,0.185,1.059,1.244,3.026,17.153,23.289,"(1024, 1024)",214
10,0.376,1.588,1.966,1.687,18.746,23.252,"(1024, 1024)",126
11,0.229,1.669,1.899,1.524,20.786,24.92,"(1024, 1024)",95
12,0.316,1.355,1.673,2.003,20.828,25.603,"(1024, 1024)",93
13,0.164,1.177,1.341,3.088,18.75,24.668,"(1024, 1024)",148
14,0.215,1.228,1.443,3.355,18.437,24.573,"(1024, 1024)",95
15,0.344,1.619,1.964,1.638,18.146,22.582,"(1024, 1024)",154
16,0.215,1.502,1.717,2.338,18.275,23.368,"(1024, 1024)",128
17,0.425,1.979,2.404,1.66,20.826,25.69,"(1024, 1024)",63
18,0.349,2.065,2.415,1.524,17.221,22.079,"(1024, 1024)",128
19,0.31,1.571,1.883,1.862,19.131,23.69,"(1024, 1024)",127
20,0.177,1.545,1.722,1.499,20.184,24.35,"(1024, 1024)",111
21,0.216,1.068,1.284,2.01,20.223,24.964,"(1024, 1024)",98
22,0.218,1.19,1.409,2.599,19.256,24.508,"(1024, 1024)",152
23,0.149,1.384,1.533,2.369,19.515,24.613,"(1024, 1024)",104
24,0.312,2.517,2.839,1.511,15.98,21.473,"(1024, 1024)",204
25,0.152,1.135,1.287,3.126,17.402,23.258,"(1024, 1024)",383
26,0.282,1.331,1.618,2.332,17.801,23.053,"(1024, 1024)",200
27,0.261,1.875,2.146,2.128,20.797,26.019,"(1024, 1024)",58
28,0.209,1.491,1.701,2.207,17.845,23.039,"(1024, 1024)",148
29,0.365,1.68,2.05,1.571,18.57,23.259,"(1024, 1024)",123
30,0.17,1.73,1.9,1.703,21.536,25.911,"(1024, 1024)",61
31,0.279,1.715,1.994,1.645,19.187,23.758,"(1024, 1024)",166
32,0.244,1.38,1.625,3.137,19.909,25.772,"(1024, 1024)",85
33,0.413,2.172,2.585,1.522,20.798,25.453,"(1024, 1024)",66
34,0.216,1.395,1.611,1.964,21.509,26.205,"(1024, 1024)",31
35,0.289,1.296,1.585,2.234,22.021,27.008,"(1024, 1024)",11
36,0.243,1.6,1.843,2.358,18.107,23.411,"(1024, 1024)",104
37,0.227,1.097,1.324,2.04,18.963,23.764,"(1024, 1024)",238
38,0.313,2.443,2.758,1.663,17.696,23.708,"(1024, 1024)",151
